201401;2014;Enero 2014
201402;2014;Febrero 2014
201403;2014;Marzo 2014
201404;2014;Abril 2014
201405;2014;Mayo 2014
201406;2014;Junio 2014
201407;2014;Julio 2014
201408;2014;Agosto 2014
201409;2014;Septiembre 2014
201410;2014;Octubre 2014
201411;2014;Noviembre 2014
201412;2014;Diciembre 2014
201501;2015;Enero 2015
201502;2015;Febrero 2015
201503;2015;Marzo 2015
201504;2015;Abril 2015
201505;2015;Mayo 2015
201506;2015;Junio 2015
201507;2015;Julio 2015
201508;2015;Agosto 2015
201509;2015;Septiembre 2015
201510;2015;Octubre 2015
201511;2015;Noviembre 2015
201512;2015;Diciembre 2015
201601;2016;Enero 2016
201602;2016;Febrero 2016
201603;2016;Marzo 2016
201604;2016;Abril 2016
201605;2016;Mayo 2016
201606;2016;Junio 2016
201607;2016;Julio 2016
201608;2016;Agosto 2016
201609;2016;Septiembre 2016
201610;2016;Octubre 2016
201611;2016;Noviembre 2016
201612;2016;Diciembre 2016
201701;2017;Enero 2017
201702;2017;Febrero 2017
201703;2017;Marzo 2017
201704;2017;Abril 2017
201705;2017;Mayo 2017
201706;2017;Junio 2017
201707;2017;Julio 2017
201708;2017;Agosto 2017
201709;2017;Septiembre 2017
201710;2017;Octubre 2017
201711;2017;Noviembre 2017
201712;2017;Diciembre 2017
